# Njemačka gramatika pripremljena za import u Anki
Pitanje;Odgovor
# Određeni članovi
Određeni član, muški rod, akuzativ;den
Određeni član, muški rod, dativ;dem
Određeni član, muški rod, genitiv;des
Određeni član, muški rod, nominativ;der
Određeni član, Ženski rod, akuzativ;die
Određeni član, Ženski rod, dativ;der
Određeni član, Ženski rod, genitiv;der
Određeni član, Ženski rod, nominativ;die
Određeni član, srednji rod, akuzativ;das
Određeni član, srednji rod, dativ;dem
Određeni član, srednji rod, genitiv;des
Određeni član, srednji rod, nominativ;das
Određeni član, množina, akuzativ;die
Određeni član, množina, dativ;den
Određeni član, množina, genitiv;der
Određeni član, množina, nominativ;die
# Neodređeni članovi
Neodređeni član, muški rod, nominativ;ein
Neodređeni član, muški rod, genitiv;eines
Neodređeni član, muški rod, dativ;einem
Neodređeni član, muški rod, akuzativ;einen
Neodređeni član, ženski rod, nominativ;eine
Neodređeni član, ženski rod, genitiv;einer
Neodređeni član, ženski rod, dativ;einer
Neodređeni član, ženski rod, akuzativ;eine
Neodređeni član, srednji rod, nominativ;ein
Neodređeni član, srednji rod, genitiv;eines
Neodređeni član, srednji rod, dativ;einem
Neodređeni član, srednji rod, akuzativ;ein
# Najčešći završetci
Najčešći završetci za muški rod;"-ismus, -or, -ling, -ig, -ich (uvijek); -er, -el, -en (često)"
Najčešći završetci za ženski rod;"-in, -ung, -schaft, -ei, -tät, -heit, -keit, -ur, -ie, -ion, -ik (uvijek); -e (često)"
Najčešći završetci za srednji rod;"-chen, -lein, -um, -tum, -ment, -ma (uvijek). Riječi sa prefiksom ge- su obično srednjeg roda."
# Množina
Tvorba množine, muški rod;Većina tvori množinu dodavanjem nastavka -e i člana die. Imenice koje završavaju na -er, -el, -en nemaju promjene nastavka u množini, ali se dodaje umlaut iznad samoglasnika.
Tvorba množine, ženski rod;Većina tvori množinu dodavanjem nastavka -n, ili -en. Ako imenica završava na -in, nastavak je -nen.
Tvorba množine, srednji rod;Imenice koje završavaju na -chen ili -lein tvore množinu zamjenom člana die.  Neke (posebno jednosložne) tvore množinu dodavanjem umlauta i nastavka -er, s članom die.
# Deklinacija imenica
Deklinacija imenice der Mann (jednina i množina) nominativ;der Mann, die Männer
Deklinacija imenice der Mann (jednina i množina) genitiv;des Mannes, der Männer
Deklinacija imenice der Mann (jednina i množina) dativ;dem Mann, den Männern
Deklinacija imenice der Mann (jednina i množina) akuzativ;den Mann, die Männer
Deklinacija imenice der Junge (n-deklinacija, jednina i množina) nominativ;der Junge, die Jungen
Deklinacija imenice der Junge (n-deklinacija, jednina i množina) genitiv;des Jungen, der Jungen
Deklinacija imenice der Junge (n-deklinacija, jednina i množina) dativ;dem Jungen, den Jungen
Deklinacija imenice der Junge (n-deklinacija, jednina i množina) akuzativ;den Jungen, die Jungen
Deklinacija imenice die Frau (jednina i množina) nominativ;die Frau, die Frauen
Deklinacija imenice die Frau (jednina i množina) genitiv;der Frau, der Frauen
Deklinacija imenice die Frau (jednina i množina) dativ;der Frau, den Frauen
Deklinacija imenice die Frau (jednina i množina) akuzativ;die Frau, die Frauen
Deklinacija imenice das Kind (jednina i množina) nominativ;das Kind, die Kinder
Deklinacija imenice das Kind (jednina i množina) genitiv;des Kindes, der Kinder
Deklinacija imenice das Kind (jednina i množina) dativ;dem Kind, den Kindern
Deklinacija imenice das Kind (jednina i množina) akuzativ;das Kind, die Kinder
# Pridjevi
